brnpdb_id,name,micro_community,micro_size,micro_hiv_rate,micro_n_active,macro_community,macro_family
41151,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, ",18500,16,0.0625,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41164,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2",34166,33,0.0606,2,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41237,Terpinen-4-ol,41129,33,0.0606,2,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41129,"β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deo",41129,33,0.0606,2,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41150,"1H-Cycloprop[e]azulen-7-ol, 1a,2,3,5,6,7,7a,7b-octahydro-1,1",9691,17,0.0588,1,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41135,"Cycloocta[1,2-b:5,6-b′]diindole-6,13-dicarboxylic acid, 5,12",29867,54,0.0556,3,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41152,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, ",6846,108,0.0556,6,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41243,α-Pinene,6846,108,0.0556,6,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41145,"Olean-12-en-3-ol, (3β)-",29867,54,0.0556,3,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41211,"2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)-",33410,38,0.0526,2,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41238,"6H-Purin-6-one, 2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)meth",33410,38,0.0526,2,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41185,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7",18073,19,0.0526,1,20,Flavona C-glucosilada (vitexina/orientina)
41146,myristic acid,26373,19,0.0526,1,15,p-Cumarico + benzoato de benzila (fenilpropanoide 
41224,"4H-Benzo[de][1,6]naphthyridine, 8,9-dimethoxy-4-methyl-",38009,39,0.0513,2,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41178,"4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihyd",18958,20,0.05,1,21,Diidroflavonol (taxifolina)
41236,farnesol,12862,20,0.05,1,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41161,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-",12938,20,0.05,1,7,Flavonol O-metilado (caempferida)
41197,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,",9416,24,0.0417,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41232,nerolidol,13658,24,0.0417,1,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41251,D-Mannose,39548,49,0.0408,2,4,Flavonois poliglicosilados + glicosideo fenilpropa
41140,"L-Mannose, 6-deoxy-",24447,25,0.04,1,1,"Monoterpenos monocíclicos e oxidados (mentano, cin"
41130,"9,12-Octadecadienoic acid, (9E,12E)-",19165,25,0.04,1,26,Zona HIV drug-like rica em tiois (sem BrNPDB)
41147,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, ",32685,27,0.037,1,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41261,ω-fenil alcanoic acid,36316,83,0.0361,3,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41159,3-O-methylquercetin,4454,29,0.0345,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41192,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-metho",39001,30,0.0333,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41257,D-Xylose,11482,44,0.0227,1,13,Pentoses livres + sesquiterpenos macrociclicos end
41183,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-6-β-D-glucopy",37974,48,0.0208,1,3,Flavonas arabinosiladas + catecois sesquiterpenoid
