node_id,community,is_brnpdb,is_active
588,11,False,True
589,15,False,False
590,5,False,True
591,22,False,False
592,1,False,False
593,6,False,False
594,4,False,False
595,4,False,False
596,14,False,False
597,20,False,False
598,17,False,False
599,11,False,False
600,16,False,True
601,4,False,False
602,24,False,False
603,4,False,False
604,20,False,False
605,24,False,False
606,6,False,True
607,2,False,False
608,10,False,False
609,9,False,False
610,18,False,False
611,9,False,False
612,8,False,False
613,0,False,False
614,26,False,False
615,18,False,False
616,14,False,False
617,14,False,False
618,4,False,False
619,22,False,False
620,22,False,False
621,10,False,False
622,10,False,False
623,14,False,False
624,15,False,False
625,13,False,False
626,22,False,False
627,15,False,False
628,15,False,False
629,8,False,False
630,18,False,False
631,14,False,False
632,13,False,False
633,22,False,False
634,24,False,False
635,2,False,False
636,1,False,False
637,3,False,False
638,25,False,False
639,25,False,False
640,26,False,False
641,2,False,False
642,7,False,False
643,18,False,False
644,8,False,False
645,15,False,False
646,7,False,False
647,6,False,False
648,18,False,False
649,21,False,False
650,3,False,True
651,24,False,False
652,23,False,False
653,26,False,True
654,6,False,False
655,6,False,False
656,6,False,False
657,6,False,False
658,6,False,True
659,6,False,False
660,6,False,False
661,6,False,False
662,22,False,False
663,26,False,False
664,22,False,False
665,19,False,False
666,16,False,False
667,16,False,False
668,11,False,True
669,1,False,False
670,19,False,False
671,25,False,False
672,2,False,False
673,6,False,False
674,11,False,False
675,25,False,False
676,25,False,False
677,11,False,False
678,5,False,False
679,15,False,False
680,26,False,False
681,2,False,False
682,15,False,False
683,16,False,False
684,16,False,False
685,16,False,False
686,16,False,False
687,2,False,False
688,2,False,False
689,2,False,False
690,2,False,False
691,6,False,False
692,6,False,False
693,6,False,False
694,8,False,False
695,14,False,False
696,18,False,False
697,24,False,False
698,9,False,False
699,4,False,False
700,1,False,False
701,4,False,False
702,13,False,False
703,13,False,False
704,6,False,False
705,6,False,False
706,4,False,False
707,4,False,False
708,4,False,False
709,4,False,False
710,14,False,False
711,9,False,False
712,25,False,False
713,26,False,False
714,10,False,False
715,6,False,False
716,26,False,False
717,4,False,False
718,2,False,False
719,13,False,False
720,15,False,False
721,16,False,False
722,16,False,False
723,16,False,False
724,22,False,False
725,22,False,False
726,11,False,True
727,22,False,False
728,4,False,False
729,13,False,False
730,8,False,False
731,22,False,False
732,22,False,False
733,22,False,False
734,3,False,True
735,3,False,False
736,22,False,False
737,3,False,False
738,17,False,False
739,26,False,False
740,14,False,False
741,16,False,False
742,8,False,False
743,0,False,False
744,15,False,False
745,0,False,False
746,0,False,False
747,26,False,False
748,13,False,False
749,0,False,False
750,18,False,False
751,14,False,False
752,15,False,False
753,15,False,False
754,14,False,False
755,14,False,False
756,24,False,False
757,24,False,False
758,0,False,False
759,5,False,False
760,14,False,False
761,14,False,False
762,14,False,False
763,25,False,False
764,4,False,False
765,15,False,False
766,8,False,False
767,14,False,False
768,14,False,False
769,25,False,False
770,7,False,False
771,24,False,False
772,8,False,False
773,8,False,False
774,14,False,False
775,15,False,False
776,2,False,False
777,8,False,False
778,8,False,False
779,1,False,False
780,4,False,False
781,25,False,False
782,24,False,False
783,20,False,False
784,11,False,True
785,24,False,False
786,17,False,False
787,5,False,False
788,10,False,False
789,22,False,False
790,7,False,False
791,22,False,False
792,1,False,False
793,0,False,False
794,1,False,False
795,23,False,False
796,6,False,False
797,25,False,False
798,1,False,False
799,3,False,False
800,3,False,False
801,18,False,False
802,15,False,False
803,25,False,False
804,23,False,False
805,23,False,False
806,20,False,False
807,23,False,False
808,23,False,False
809,23,False,False
810,2,False,False
811,23,False,False
812,2,False,False
813,23,False,False
814,2,False,False
815,23,False,False
816,25,False,False
817,23,False,False
818,23,False,False
819,1,False,False
820,23,False,False
821,23,False,False
822,14,False,False
823,23,False,False
824,23,False,False
825,14,False,False
826,1,False,False
827,23,False,False
828,21,False,False
829,1,False,False
830,2,False,False
831,14,False,False
832,4,False,False
833,20,False,False
834,25,False,False
835,2,False,False
836,18,False,False
837,25,False,False
838,0,False,False
839,18,False,False
840,9,False,False
841,3,False,False
842,3,False,False
843,11,False,False
844,0,False,False
845,23,False,False
846,23,False,False
847,6,False,False
848,0,False,False
849,24,False,False
850,14,False,False
851,7,False,False
852,24,False,False
853,24,False,False
854,25,False,False
855,24,False,False
856,24,False,False
857,24,False,False
858,6,False,False
859,0,False,False
860,24,False,False
861,9,False,False
862,3,False,False
863,9,False,False
864,2,False,False
865,2,False,False
866,23,False,False
867,23,False,False
868,24,False,False
869,15,False,False
870,14,False,False
871,8,False,False
872,2,False,False
873,24,False,False
874,25,False,False
875,18,False,False
876,23,False,False
