index,brnpdb_id,common_name,smiles
58,7602,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aS,7bS)-rel-",CC1([C@H]2[C@H]3[C@@H](CC[C@H]3C(CC[C@H]21)=C)C)C
59,10222,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-dimethoxy-6-methyl-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1OC)=O)C(=C(C(=C2)OC)C)O
60,9109,"β-D-Glucopyranoside, 4-[[[(2E)-3-(3,4-dihydroxyphenyl)-1-oxo-2-propen-1-yl]oxy]methyl]-2-hydroxyphenyl",O(C1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)C1=C(C=C(C=C1)COC(\C=C\C1=CC(=C(C=C1)O)O)=O)O
61,6523,"4H-1-Benzopyran-4-one, 6-β-D-glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-",[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)C=1C(=CC2=C(C(C=C(O2)C2=CC=C(C=C2)O)=O)C1O)O
62,6361,"1H-Naphtho[2,1-a]xanthene-2,10-diol, 2,3,4,4a,4b,5,6,6a,12,12a,12b,13,14,14a-tetradecahydro-1,1,4a,6a,8,12b-hexamethyl-, (2S,4aR,4bS,6aS,12aS,12bS,14aR)-",CC1(C2CCC3(C(CCC4(OC5=C(C=C(C=C5CC34)O)C)C)C2(CCC1O)C)C)C
63,3887,4-nerolidylcathecol,CC(=CCC/C(=C/CCC(C)(C=C)C1=CC(=C(C=C1)O)O)/C)C
64,9519,"9H-Xanthen-9-one, 2-β-D-glucopyranosyl-1,3,6,7-tetrahydroxy-",[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)C1=C(C=2C(C3=CC(=C(C=C3OC2C=C1O)O)O)=O)O
65,6009,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, (1S,4aR,5S,6S,8aR)-",OC1=C(C=C(C=C1C)OC)CC1(C2CCC(C(C2(CCC1C)C)CCC(=O)O)=C(C)C)C
66,6665,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, methyl ester, [1S-(1α,4aβ,5β,6β,8aα)]-",
67,7030,"1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylene-, (1aR,4R,4aR,7aR,7bR)-",CC1(C2C3C(CCC3C(CCC21)C)=C)C
