compound,name,smiles,mw,formula,volume,monomass,nrotb,tpsa,bioactivities,speciesName,stateName,cityName,iupac,inchi,inchikey,hba,hbd,logp,lipinski
http://nubbekg.aksw.org/data/compound/2977,Netzahualcoyene,O=C2C(O)=C(C)C1=CC=C(C3=C(C)C[C@](CC([C@@](C)([C@@](OC)=O)C5)=O)(C)[C@]5([H])[C@@](C)3CC4)[C@]4(C)C1=C2,476.6038,C30H36O5,452.241,476.2563,2.0,80.675,Antioxidant,Peritassa campestris | Salacia campestris,SP,Sao Carlos ,"methyl (2S,12bS,14aS,14bR)-10-hydroxy-2,4a,6,9,12b,14a-hexamethyl-3,11-dioxo-1,2,3,4,4a,5,11,12b,13,14,14a,14b-dodecahydropicene-2-carboxylate","1S/C30H36O5/c1-16-13-27(3)15-23(32)30(6,26(34)35-7)14-22(27)29(5)11-10-28(4)19(24(16)29)9-8-18-17(2)25(33)21(31)12-20(18)28/h8-9,12,22,33H,10-11,13-15H2,1-7H3/t22-,27?,28-,29+,30+/m1/s1
","UORCITODAXCKFN-ZSJVJHRASA-N
",5.0,1.0,4.692,0.0
http://nubbekg.aksw.org/data/compound/2981,"2-oxo-piperol B; (7S*, 8R*, 1R*, 3R*)-3,4,5-trimethoxy-3,7-cyclo-8,1-neolig-8-ene-2,4(3H)-dione",COC1=C[C@@](CC=C)([C@]2=O)[C@@](C)([H])[C@@]([H])([C@]3=CC(OC)=C(OC)C=C3)[C@@H]2[C@@]1=O,356.4123,C21H24O5,332.462,356.16238,6.0,61.844,Antioxidant,Nectandra grandiflora,SP,Peruibe ,"(1S,5S,6R,7R)-7-(3,4-dimethoxyphenyl)-3-methoxy-6-methyl-5-(prop-2-en-1-yl)bicyclo[3.2.1]oct-3-ene-2,8-dione","1S/C21H24O5/c1-6-9-21-11-16(26-5)19(22)18(20(21)23)17(12(21)2)13-7-8-14(24-3)15(10-13)25-4/h6-8,10-12,17-18H,1,9H2,2-5H3/t12-,17+,18-,21-/m1/s1
","IYEJIWMVJJRSMG-RQJAOHDJSA-N
",5.0,0.0,1.706,0.0
http://nubbekg.aksw.org/data/compound/2982,Piperol B,COC1=C[C@@](CC=C)([C@]([H])2O)[C@@](C)([H])[C@@]([H])([C@]3=CC(OC)=C(OC)C=C3)[C@@H]2[C@@]1=O,358.4281,C21H26O5,338.323,358.178,6.0,65.001,Antioxidant,Nectandra grandiflora,SP,Peruibe ,"(1S,5S,6R,7R,8S)-7-(3,4-dimethoxyphenyl)-8-hydroxy-3-methoxy-6-methyl-5-(prop-2-en-1-yl)bicyclo[3.2.1]oct-3-en-2-one","1S/C21H26O5/c1-6-9-21-11-16(26-5)19(22)18(20(21)23)17(12(21)2)13-7-8-14(24-3)15(10-13)25-4/h6-8,10-12,17-18,20,23H,1,9H2,2-5H3/t12-,17+,18-,20+,21-/m1/s1
","WHHWCIFCUMPODM-LOPMHCFQSA-N
",5.0,1.0,1.892,0.0
http://nubbekg.aksw.org/data/compound/2983,Burchellin,C=CC[C@]12C(O[C@@H]([C@@]4=CC=C3OCOC3=C4)[C@H]1C)=CC(C(OC)=C2)=O,340.3698,C20H20O5,305.89,340.13107,4.0,54.007,Antioxidant,Aniba sp. | Aniba terminalis | Nectandra grandiflora,AM | SP,Manaus  | Peruibe ,"(2R,3S,3aS)-2-(2H-1,3-benzodioxol-5-yl)-5-methoxy-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,6-tetrahydro-1-benzofuran-6-one","1S/C20H20O5/c1-4-7-20-10-17(22-3)14(21)9-18(20)25-19(12(20)2)13-5-6-15-16(8-13)24-11-23-15/h4-6,8-10,12,19H,1,7,11H2,2-3H3/t12-,19-,20-/m1/s1
","SOLJFAQVSWXZEQ-TVNIXMEMSA-N
",5.0,0.0,2.726,0.0
http://nubbekg.aksw.org/data/compound/2990,"α-L-xylopyranosyl-(4""→20)-(3-O-β-D-glucopyranosyl)-1'-O-E-caffeoyl-β-D-glucopyranoside",OC[C@H]1O[C@@H](OC2=CC(/C=C/C(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O[C@@H]4[C@H]([C@@H]([C@@H](OC4)O)O)O)O)O)CO)=O)=CC=C2O)[C@@H]([C@H]([C@@H]1O)O)O,636.5532,C26H36O18,526.016,636.1902,10.0,294.983,Antioxidant,Coussarea hydrangeifolia,SP,Mogi Guacu ,"(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(3S,4S,5S,6R)-4,5,6-trihydroxyoxan-3-yl]oxy}oxan-2-yl (2E)-3-(4-hydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoate","1S/C26H36O18/c27-6-12-16(31)19(34)22(37)25(42-12)41-11-5-9(1-3-10(11)29)2-4-15(30)44-26-23(20(35)17(32)13(7-28)43-26)40-14-8-39-24(38)21(36)18(14)33/h1-5,12-14,16-29,31-38H,6-8H2/b4-2+/t12-,13-,14+,16-,17-,18-,19+,20+,21+,22-,23-,24-,25-,26+/m1/s1
","ULXNZIXJJLKCPD-JSPXEMGASA-N
",18.0,11.0,-4.06,3.0
http://nubbekg.aksw.org/data/compound/2991,"1,6-di-O-caffeoyl-β-D-glucopyranoside",OC1=CC(/C=C/C(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)COC(/C=C/C2=CC=C(C(O)=C2)O)=O)=O)=CC=C1O,504.4402,C24H24O12,421.43,504.12677,9.0,203.44,Antioxidant,Coussarea hydrangeifolia,SP,Mogi Guacu ,"[(2R,3S,4S,5R,6S)-6-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-3,4,5-trihydroxyoxan-2-yl]methyl (2E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","1S/C24H24O12/c25-14-5-1-12(9-16(14)27)3-7-19(29)34-11-18-21(31)22(32)23(33)24(35-18)36-20(30)8-4-13-2-6-15(26)17(28)10-13/h1-10,18,21-28,31-33H,11H2/b7-3+,8-4+/t18-,21-,22+,23-,24+/m1/s1
","TZEMRDVCZWVBHT-UTTQFQDJSA-N
",12.0,7.0,1.111,3.0
http://nubbekg.aksw.org/data/compound/2992,1-O-(E)-caffeoyl-β-D-glucopyranoside,OC1=CC(/C=C/C(O[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)=O)=CC=C1O,342.298,C15H18O9,286.619,342.0951,5.0,156.907,Antioxidant,Coussarea hydrangeifolia,SP,Mogi Guacu ,"(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl (2E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(23-10)24-11(19)4-2-7-1-3-8(17)9(18)5-7/h1-5,10,12-18,20-22H,6H2/b4-2+/t10-,12-,13+,14-,15+/m1/s1
","WQSDYZZEIBAPIN-VBQORRLJSA-N
",9.0,6.0,-0.766,1.0
http://nubbekg.aksw.org/data/compound/2993,1-O-(E)-feruloyl-β-D-glucopyranoside,OC2=CC=C(C=C2OC)/C=C/C(O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)=O,356.3246,C16H20O9,304.146,356.11072,6.0,145.913,Antioxidant,Coussarea hydrangeifolia,SP,Mogi Guacu ,"(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl (2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate","1S/C16H20O9/c1-23-10-6-8(2-4-9(10)18)3-5-12(19)25-16-15(22)14(21)13(20)11(7-17)24-16/h2-6,11,13-18,20-22H,7H2,1H3/b5-3+/t11-,13-,14+,15-,16+/m1/s1
","JWRQVQWBNRGGPK-PMQCXRHVSA-N
",9.0,5.0,-0.458,0.0
http://nubbekg.aksw.org/data/compound/2998,"7-Methyl-sargachromenol; 2,7,8-Trimethyl-2-[(3-E,7-Z)-4,12-dimethyl-8-carboxyl-3,7,11-tridecatrienyl]-3-chromen-6-ol, β-caroteno",OC1=C(C)C(C)=C(OC(CC/C=C(C)/CC/C=C(C(O)=O)/CC/C=C(C)/C)(C)C=C2)C2=C1,438.5989,C28H38O4,443.553,438.277,10.0,66.761,Antioxidant,Iryanthera juruensis,PA,Belem ,"(2Z,6E)-9-(6-hydroxy-2,7,8-trimethyl-2H-chromen-2-yl)-6-methyl-2-(4-methylpent-3-en-1-yl)nona-2,6-dienoic acid","1/C28H38O4/c1-19(2)10-7-13-23(27(30)31)14-8-11-20(3)12-9-16-28(6)17-15-24-18-25(29)21(4)22(5)26(24)32-28/h10,12,14-15,17-18,29H,7-9,11,13,16H2,1-6H3,(H,30,31)/b20-12+,23-14-
","CEDDAIQBDLSHBB-HVZPBUQRNA-N
",4.0,2.0,8.252,1.0
http://nubbekg.aksw.org/data/compound/2999,Kaempferol-3-O-rutinoside,OC5=C4C(C(O[C@H](O[C@@H]([C@H]([C@@H]2O)O)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)[C@@H]2O)=C(OC4=CC(O)=C5)C3=CC=C(C=C3)O)=O,594.5181,C27H30O15,488.051,594.15845,6.0,249.199,Antioxidant,Chimarrhis turbinata,PA,Belem ,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}methyl)oxan-2-yl]oxy}-4H-chromen-4-one","1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1
","RTATXGUCZHCSNG-QHWHWDPRSA-N
",15.0,9.0,-0.574,3.0
